fast,slow,atr_sl,atr_tp,trades,total_return,cagr,max_drawdown,sharpe
11,34,1.0,1.8,6,-0.009272076171475074,-0.11442235942224066,-0.7181198962119065,0.7420870334728621
11,34,1.0,2.0,6,-0.009272076171475074,-0.11442235942224066,-0.7181198962119065,0.7420870334728621
9,34,1.0,1.6,6,-0.009175567853938582,-0.11329639681150716,-0.7180579181441415,0.7419912316940294
9,34,1.0,1.8,6,-0.009175567853938582,-0.11329639681150716,-0.7180579181441415,0.7419912316940294
9,34,1.0,2.0,6,-0.009175567853938582,-0.11329639681150716,-0.7180579181441415,0.7419912316940294
9,34,0.9,1.6,6,-0.009094157822836735,-0.1123455582452253,-0.7180056362626086,0.7419682068849164
9,34,0.9,1.8,6,-0.009094157822836735,-0.1123455582452253,-0.7180056362626086,0.7419682068849164
9,34,0.9,2.0,6,-0.009094157822836735,-0.1123455582452253,-0.7180056362626086,0.7419682068849164
11,34,0.9,1.6,6,-0.00875978466049765,-0.10843032253457952,-0.7177909003409466,0.7419384554222636
11,34,0.9,1.8,6,-0.00875978466049765,-0.10843032253457952,-0.7177909003409466,0.7419384554222636
11,34,0.9,2.0,6,-0.00875978466049765,-0.10843032253457952,-0.7177909003409466,0.7419384554222636
7,34,1.0,1.6,6,-0.008859195426860977,-0.10959600350365828,-0.7180361980915821,0.7417726359117934
7,34,1.0,1.8,6,-0.008859195426860977,-0.10959600350365828,-0.7180361980915821,0.7417726359117934
7,34,1.0,2.0,6,-0.008859195426860977,-0.10959600350365828,-0.7180361980915821,0.7417726359117934
7,34,0.9,1.6,6,-0.008674557619272272,-0.10742983686621221,-0.7179176991610208,0.7416929707906182
7,34,0.9,1.8,6,-0.008674557619272272,-0.10742983686621221,-0.7179176991610208,0.7416929707906182
7,34,0.9,2.0,6,-0.008674557619272272,-0.10742983686621221,-0.7179176991610208,0.7416929707906182
9,55,0.9,1.6,6,-0.006204697475247323,-0.0779816970008973,-0.7156082001553625,0.6774219385396594
9,55,1.0,1.6,6,-0.006615133087559344,-0.08293665469650979,-0.7156171910171956,0.677280108842582
9,55,0.9,1.8,6,-0.005435968354030041,-0.06863469551991452,-0.7151145189185124,0.6771409558265536
9,55,0.9,2.0,6,-0.005435968354030041,-0.06863469551991452,-0.7151145189185124,0.6771409558265536
9,55,1.0,1.8,6,-0.005846403966342062,-0.07363602526424173,-0.7151235097803454,0.6769990438794652
9,55,1.0,2.0,6,-0.005846403966342062,-0.07363602526424173,-0.7151235097803454,0.6769990438794652
11,55,0.9,1.6,6,-0.00399231023894242,-0.05084436516358515,-0.7138542860701834,0.6769567246797374
11,55,1.0,1.6,6,-0.004030625237526508,-0.051320549532790194,-0.7138542860701834,0.6769478635908158
11,55,0.9,1.8,6,-0.0030717796628774163,-0.03933731758304615,-0.7132632167956623,0.6766253673310081
11,55,1.0,1.8,6,-0.0031100946614615044,-0.03981883003249165,-0.7132632167956623,0.6766164933247443
11,55,0.9,2.0,6,-0.0028947804881652717,-0.0371100372540305,-0.7131495662809395,0.6766158882718694
11,55,1.0,2.0,6,-0.0029330954867493597,-0.03759258042893665,-0.7131495662809395,0.6766070132342727
